hkl,kpoints,atoms,area,total_energy,surface_energy
(001),5x1x1,160,75.59	,-1281.15,1.207
(010),1x1x1,240,346.17,-1897.99,0.944
(011),1x1x1,240,354.32,-1890.41,1.094
(100),5x1x1,160,70.57	,-1285.58,0.790
(101),5x1x1,160,103.41,-1281.45,0.859
(102),5x1x1,480,166.84,-3858.71,0.908
(110),1x1x1,240,353.29,-1894.50,1.004
(112),1x1x1,480,384.28,-3825.65,1.083
(122),1x1x1,640,712.15,-5067.91,1.150
(201),5x1x1,320,160.11,-2553.69,1.570
(211),1x1x1,480,381.38,-3825.42,1.096
(212),1x1x1,480,403.25,-3808.56,1.372
